Sample,sex,estimate,se,lcl,ucl
h10_0.7_0.25,male,43.706626761590876,11.875905319975324,20.429852334439243,66.9834011887425
h10_0.7_0.25,female,25.624951223166228,8.029449712903066,9.887229785876219,41.36267266045624
h11_0.4_0.2,total,73.640088426275355,11.780600598563602,50.55011125309069,96.73006559946002
h11_0.6_0.2,male,49.92772879809689,12.372570429590033,25.677490756100422,74.17796684009335
h11_0.6_0.2,female,30.8353394615228,8.70053934777836,13.782282339877213,47.88839658316839
h12_0.7_0.3,male,43.706767498148174,11.875960534440162,20.429884850645458,66.9836501456509
h12_0.7_0.3,female,25.625033736223934,8.029484197532566,9.887244709060104,41.36282276338776
h13_0.5_0.2,male,42.0740784838377,8.377006032361056,25.655146660410033,58.49301030726537
h13_0.5_0.2,female,24.194748865095516,5.833991409052018,12.76012570335356,35.62937202683747
h13_0.6_0.25,male,44.804888763672494,10.697663072371615,23.83746914182413,65.77230838552086
h13_0.6_0.25,female,26.35916581649347,7.341853039071562,11.969133859913207,40.74919777307373
h13_0.6_0.3,male,44.8048913866888,10.69766080925192,23.837476200555038,65.77230657282257
h13_0.6_0.3,female,26.359167359640292,7.341852011742256,11.96913741662547,40.74919730265511
h15_0.5_0.3,male,42.07714710422007,8.460332383016569,25.494895633507593,58.65939857493254
h15_0.5_0.3,female,24.19651347889549,5.873753742988605,12.683956142637825,35.709070815153154
h16_0.4_0.3,total,67.0773500868004,10.611111282962923,46.27957197219307,87.87512820140772
h5_0.8_0.2,male,43.207749160931485,15.643490504229057,12.546507772642535,73.86899054922043
h5_0.8_0.2,female,23.999824584490014,10.056806540332431,4.28848376543845,43.71116540354158
h5_0.8_0.25,male,43.2077711277941,15.643505640950773,12.546500071530591,73.86904218405762
h5_0.8_0.25,female,23.999836786024687,10.056815100735761,4.2884791885825955,43.711194383466776
h7_0.8_0.3,male,43.20766611098314,15.643452795035783,12.546498632713007,73.86883358925327
h7_0.8_0.3,female,23.999778454241838,10.056783543153646,4.288482709660691,43.711074198822985
h9_0.7_0.2,male,43.70662590373586,11.875911309766783,20.429839736592967,66.98341207087876
h9_0.7_0.2,female,25.624950720210624,8.029452719070635,9.88722339083218,41.362678049589064
